"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","SOS","ECR VS ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"Saquon Barkley",PHI,"RB2","9","3 out of 5 stars","0"
"4",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","+2"
"5",1,"Jahmyr Gibbs",DET,"RB3","8","2 out of 5 stars","-1"
"6",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","-1"
"7",2,"Derrick Henry",BAL,"RB4","7","4 out of 5 stars","+4"
"8",2,"Nico Collins",HOU,"WR4","6","4 out of 5 stars","+4"
"9",2,"Brian Thomas Jr.",JAC,"WR5","8","4 out of 5 stars","+5"
"10",2,"Malik Nabers",NYG,"WR6","14","2 out of 5 stars","-2"
"11",2,"Puka Nacua",LAR,"WR7","8","3 out of 5 stars","+2"
"12",3,"Ashton Jeanty",LV,"RB5","8","2 out of 5 stars","-3"
"13",3,"Christian McCaffrey",SF,"RB6","14","3 out of 5 stars","-3"
"14",3,"Drake London",ATL,"WR8","5","3 out of 5 stars","+5"
"15",3,"Jonathan Taylor",IND,"RB7","11","2 out of 5 stars","+6"
"16",3,"A.J. Brown",PHI,"WR9","9","3 out of 5 stars","+6"
"17",3,"Amon-Ra St. Brown",DET,"WR10","8","3 out of 5 stars","-10"
"18",3,"Josh Jacobs",GB,"RB8","5","4 out of 5 stars","-1"
"19",3,"George Kittle",SF,"TE1","14","3 out of 5 stars","+20"
"20",3,"Brock Bowers",LV,"TE2","8","2 out of 5 stars","-2"
"21",3,"Bucky Irving",TB,"RB9","9","3 out of 5 stars","-6"
"22",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+4"
"23",4,"Kyren Williams",LAR,"RB10","8","3 out of 5 stars","+2"
"24",4,"De'Von Achane",MIA,"RB11","12","4 out of 5 stars","-8"
"25",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-2"
"26",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-2"
"27",4,"Chase Brown",CIN,"RB12","10","4 out of 5 stars","-7"
"28",4,"Tee Higgins",CIN,"WR12","10","3 out of 5 stars","+5"
"29",4,"Mike Evans",TB,"WR13","9","3 out of 5 stars","+14"
"30",4,"Trey McBride",ARI,"TE3","8","5 out of 5 stars","-3"
"31",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-1"
"32",4,"James Cook",BUF,"RB13","7","4 out of 5 stars","-1"
"33",4,"Jaxon Smith-Njigba",SEA,"WR14","8","3 out of 5 stars","-5"
"34",4,"Tyreek Hill",MIA,"WR15","12","3 out of 5 stars","-5"
"35",5,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+9"
"36",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","+5"
"37",5,"Omarion Hampton",LAC,"RB14","12","2 out of 5 stars","-5"
"38",5,"Marvin Harrison Jr.",ARI,"WR17","8","4 out of 5 stars","+2"
"39",5,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","+3"
"40",5,"Garrett Wilson",NYJ,"WR18","9","4 out of 5 stars","-3"
"41",5,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","-6"
"42",5,"DK Metcalf",PIT,"WR20","5","4 out of 5 stars","+8"
"43",5,"Chuba Hubbard",CAR,"RB16","14","3 out of 5 stars","+2"
"44",5,"Breece Hall",NYJ,"RB17","9","5 out of 5 stars","-10"
"45",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-7"
"46",5,"James Conner",ARI,"RB18","8","3 out of 5 stars","+1"
"47",5,"Courtland Sutton",DEN,"WR21","12","3 out of 5 stars","+2"
"48",5,"TreVeyon Henderson",NE,"RB19","14","4 out of 5 stars","-2"
"49",5,"Jameson Williams",DET,"WR22","8","3 out of 5 stars","+9"
"50",5,"Alvin Kamara",NO,"RB20","11","4 out of 5 stars","-14"
"51",6,"DJ Moore",CHI,"WR23","5","2 out of 5 stars","-3"
"52",6,"Xavier Worthy",KC,"WR24","10","3 out of 5 stars","+3"
"53",6,"Calvin Ridley",TEN,"WR25","10","4 out of 5 stars","+13"
"54",6,"George Pickens",DAL,"WR26","10","2 out of 5 stars","+9"
"55",6,"Tetairoa McMillan",CAR,"WR27","14","4 out of 5 stars","-2"
"56",6,"DeVonta Smith",PHI,"WR28","9","3 out of 5 stars","-2"
"57",6,"David Montgomery",DET,"RB21","8","2 out of 5 stars","0"
"58",6,"D'Andre Swift",CHI,"RB22","5","3 out of 5 stars","+3"
"59",6,"Zay Flowers",BAL,"WR29","7","3 out of 5 stars","+3"
"60",6,"Tony Pollard",TEN,"RB23","10","2 out of 5 stars","+4"
"61",6,"Sam LaPorta",DET,"TE4","8","3 out of 5 stars","-5"
"62",6,"RJ Harvey",DEN,"RB24","12","2 out of 5 stars","-11"
"63",6,"Isiah Pacheco",KC,"RB25","10","2 out of 5 stars","-4"
"64",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-4"
"65",6,"Jaylen Waddle",MIA,"WR30","12","3 out of 5 stars","+7"
"66",6,"Aaron Jones Sr.",MIN,"RB26","6","3 out of 5 stars","-1"
"67",6,"Baker Mayfield",TB,"QB7","9","2 out of 5 stars","+4"
"68",6,"Mark Andrews",BAL,"TE5","7","3 out of 5 stars","+15"
"69",7,"Bo Nix",DEN,"QB8","12","4 out of 5 stars","+8"
"70",7,"Kaleb Johnson",PIT,"RB27","5","4 out of 5 stars","+6"
"71",7,"T.J. Hockenson",MIN,"TE6","6","3 out of 5 stars","-4"
"72",7,"Tyrone Tracy Jr.",NYG,"RB28","14","3 out of 5 stars","+2"
"73",7,"Travis Hunter",JAC,"WR31","8","4 out of 5 stars","-4"
"74",7,"Ricky Pearsall",SF,"WR32","14","4 out of 5 stars","+6"
"75",7,"Rome Odunze",CHI,"WR33","5","2 out of 5 stars","+3"
"76",7,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+19"
"77",7,"Rashee Rice",KC,"WR34","10","3 out of 5 stars","-25"
"78",7,"Dak Prescott",DAL,"QB10","10","2 out of 5 stars","+26"
"79",7,"Chris Olave",NO,"WR35","11","4 out of 5 stars","-4"
"80",7,"Jordan Mason",MIN,"RB29","6","3 out of 5 stars","+17"
"81",7,"Emeka Egbuka",TB,"WR36","9","3 out of 5 stars","+12"
"82",7,"Jerry Jeudy",CLE,"WR37","9","2 out of 5 stars","-14"
"83",7,"Travis Kelce",KC,"TE7","10","3 out of 5 stars","-13"
"84",7,"Jaylen Warren",PIT,"RB30","5","4 out of 5 stars","-5"
"85",7,"Deebo Samuel Sr.",WAS,"WR38","12","3 out of 5 stars","-3"
"86",7,"Jordan Addison",MIN,"WR39","6","2 out of 5 stars","-5"
"87",7,"David Njoku",CLE,"TE8","9","3 out of 5 stars","+13"
"88",7,"Brock Purdy",SF,"QB11","14","4 out of 5 stars","+24"
"89",7,"Justin Fields",NYJ,"QB12","9","5 out of 5 stars","+30"
"90",7,"Travis Etienne Jr.",JAC,"RB31","8","2 out of 5 stars","-6"
"91",7,"Zach Charbonnet",SEA,"RB32","8","3 out of 5 stars","+3"
"92",8,"Tucker Kraft",GB,"TE9","5","2 out of 5 stars","+19"
"93",8,"Jayden Reed",GB,"WR40","5","2 out of 5 stars","+12"
"94",8,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+20"
"95",8,"Jauan Jennings",SF,"WR41","14","4 out of 5 stars","+7"
"96",8,"Tank Bigsby",JAC,"RB33","8","2 out of 5 stars","+20"
"97",8,"Stefon Diggs",NE,"WR42","14","3 out of 5 stars","-11"
"98",8,"Matthew Golden",GB,"WR43","5","2 out of 5 stars","-8"
"99",8,"Tyler Warren",IND,"TE10","11","3 out of 5 stars","-3"
"100",8,"Jacory Croskey-Merritt",WAS,"RB34","12","2 out of 5 stars","+78"
"101",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+5"
"102",8,"Drake Maye",NE,"QB15","14","5 out of 5 stars","+25"
"103",8,"Javonte Williams",DAL,"RB35","10","2 out of 5 stars","-5"
"104",8,"Jakobi Meyers",LV,"WR44","8","4 out of 5 stars","-15"
"105",8,"Evan Engram",DEN,"TE11","12","3 out of 5 stars","-17"
"106",8,"Jared Goff",DET,"QB16","8","2 out of 5 stars","-5"
"107",8,"J.K. Dobbins",DEN,"RB36","12","2 out of 5 stars","+1"
"108",8,"Rhamondre Stevenson",NE,"RB37","14","4 out of 5 stars","+2"
"109",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+24"
"110",8,"Khalil Shakir",BUF,"WR45","7","3 out of 5 stars","-18"
"111",8,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+26"
"112",8,"Keon Coleman",BUF,"WR46","7","3 out of 5 stars","+5"
"113",8,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+17"
"114",8,"Cam Skattebo",NYG,"RB38","14","3 out of 5 stars","-11"
"115",8,"Josh Downs",IND,"WR47","11","4 out of 5 stars","-2"
"116",8,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+18"
"117",8,"Dallas Goedert",PHI,"TE12","9","3 out of 5 stars","+24"
"118",8,"Chris Godwin Jr.",TB,"WR48","9","3 out of 5 stars","-33"
"119",8,"Kyle Pitts Sr.",ATL,"TE13","5","3 out of 5 stars","+19"
"120",8,"Cooper Kupp",SEA,"WR49","8","3 out of 5 stars","-33"
"121",8,"Najee Harris",LAC,"RB39","12","2 out of 5 stars","-14"
"122",9,"Dalton Kincaid",BUF,"TE14","7","3 out of 5 stars","+2"
"123",9,"Darnell Mooney",ATL,"WR50","5","3 out of 5 stars","-1"
"124",9,"Austin Ekeler",WAS,"RB40","12","2 out of 5 stars","-3"
"125",9,"Braelon Allen",NYJ,"RB41","9","5 out of 5 stars","+18"
"126",9,"Michael Pittman Jr.",IND,"WR51","11","4 out of 5 stars","-17"
"127",9,"Rashid Shaheed",NO,"WR52","11","4 out of 5 stars","+12"
"128",9,"Trey Benson",ARI,"RB42","8","3 out of 5 stars","+8"
"129",9,"Quinshon Judkins",CLE,"RB43","9","4 out of 5 stars","-38"
"130",9,"Brian Robinson Jr.",SF,"RB44","14","3 out of 5 stars","-31"
"131",9,"Ray Davis",BUF,"RB45","7","4 out of 5 stars","+15"
"132",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-17"
"133",9,"Joe Mixon",HOU,"RB46","6","2 out of 5 stars","-60"
"134",9,"Brandon Aiyuk",SF,"WR53","14","4 out of 5 stars","-16"
"135",9,"Rachaad White",TB,"RB47","9","3 out of 5 stars","-7"
"136",9,"Nick Chubb",HOU,"RB48","6","2 out of 5 stars","+4"
"137",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+14"
"138",9,"Tyler Allgeier",ATL,"RB49","5","4 out of 5 stars","+11"
"139",9,"Jake Ferguson",DAL,"TE16","10","2 out of 5 stars","-16"
"140",9,"Rashod Bateman",BAL,"WR54","7","3 out of 5 stars","+22"
"141",9,"Christian Kirk",HOU,"WR55","6","4 out of 5 stars","+4"
"142",9,"Tyjae Spears",TEN,"RB50","10","2 out of 5 stars","-13"
"143",9,"Bryce Young",CAR,"QB22","14","3 out of 5 stars","+15"
"144",9,"Marvin Mims Jr.",DEN,"WR56","12","3 out of 5 stars","-12"
"145",9,"Michael Penix Jr.",ATL,"QB23","5","4 out of 5 stars","+12"
"146",9,"Jaydon Blue",DAL,"RB51","10","2 out of 5 stars","-20"
"147",9,"Hunter Henry",NE,"TE17","14","3 out of 5 stars","+6"
"148",9,"Bhayshul Tuten",JAC,"RB52","8","2 out of 5 stars","-17"
"149",9,"Jerome Ford",CLE,"RB53","9","4 out of 5 stars","-14"
"150",9,"Dylan Sampson",CLE,"RB54","9","4 out of 5 stars","0"
"151",9,"Luther Burden III",CHI,"WR57","5","2 out of 5 stars","-7"
"152",9,"Cedric Tillman",CLE,"WR58","9","2 out of 5 stars","+17"
"153",9,"Matthew Stafford",LAR,"QB24","8","3 out of 5 stars","+7"
"154",9,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+11"
"155",10,"Jayden Higgins",HOU,"WR59","6","4 out of 5 stars","-30"
"156",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-9"
"157",10,"Jonnu Smith",PIT,"TE18","5","3 out of 5 stars","-37"
"158",10,"Zach Ertz",WAS,"TE19","12","3 out of 5 stars","-2"
"159",10,"Romeo Doubs",GB,"WR60","5","2 out of 5 stars","+29"
"160",10,"Isaiah Likely",BAL,"TE20","7","3 out of 5 stars","+13"
"161",10,"Rico Dowdle",CAR,"RB55","14","3 out of 5 stars","-19"
"162",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-10"
"163",10,"Marquise Brown",KC,"WR61","10","3 out of 5 stars","-9"
"164",10,"Keenan Allen",LAC,"WR62","12","3 out of 5 stars","-9"
"165",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-4"
"166",10,"Tre' Harris",LAC,"WR63","12","3 out of 5 stars","-18"
"167",10,"Isaac Guerendo",SF,"RB56","14","3 out of 5 stars","-4"
"168",10,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","+15"
"169",10,"Adam Thielen",MIN,"WR64","6","2 out of 5 stars","+5"
"170",10,"DeMario Douglas",NE,"WR65","14","3 out of 5 stars","+17"
"171",10,"Joshua Palmer",BUF,"WR66","7","3 out of 5 stars","+14"
"172",10,"Kyle Williams",NE,"WR67","14","3 out of 5 stars","-8"
"173",10,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-2"
"174",10,"Jaylen Wright",MIA,"RB57","12","4 out of 5 stars","+7"
"175",10,"Cam Ward",TEN,"QB26","10","2 out of 5 stars","-16"
"176",10,"Sam Darnold",SEA,"QB27","8","4 out of 5 stars","-8"
"177",10,"Wan'Dale Robinson",NYG,"WR68","14","2 out of 5 stars","0"
"178",10,"Quentin Johnston",LAC,"WR69","12","3 out of 5 stars","+42"
"179",10,"Roschon Johnson",CHI,"RB58","5","3 out of 5 stars","+21"
"180",10,"Ollie Gordon II",MIA,"RB59","12","4 out of 5 stars","+11"
"181",10,"Xavier Legette",CAR,"WR70","14","4 out of 5 stars","-5"
"182",10,"Blake Corum",LAR,"RB60","8","3 out of 5 stars","+13"
"183",10,"Brenton Strange",JAC,"TE21","8","3 out of 5 stars","-16"
"184",10,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","0"
"185",10,"Buffalo Bills",BUF,"DST7","7","5 out of 5 stars","+14"
"186",10,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-6"
"187",10,"Kansas City Chiefs",KC,"DST8","10","1 out of 5 stars","+21"
"188",10,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","+23"
"189",10,"DeAndre Hopkins",BAL,"WR71","7","3 out of 5 stars","-23"
"190",10,"Jalen Coker",CAR,"WR72","14","4 out of 5 stars","+45"
"191",10,"Cameron Dicker",LAC,"K2","12","5 out of 5 stars","+2"
"192",11,"Cade Otton",TB,"TE22","9","3 out of 5 stars","-17"
"193",11,"Jake Bates",DET,"K3","8","1 out of 5 stars","+9"
"194",11,"Seattle Seahawks",SEA,"DST10","8","3 out of 5 stars","+46"
"195",11,"Wil Lutz",DEN,"K4","12","5 out of 5 stars","+63"
"196",11,"Chig Okonkwo",TEN,"TE23","10","3 out of 5 stars","-4"
"197",11,"Los Angeles Rams",LAR,"DST11","8","3 out of 5 stars","+46"
"198",11,"Alec Pierce",IND,"WR73","11","4 out of 5 stars","+11"
"199",11,"Woody Marks",HOU,"RB61","6","2 out of 5 stars","+8"
"200",11,"Green Bay Packers",GB,"DST12","5","2 out of 5 stars","+42"
"201",11,"Los Angeles Chargers",LAC,"DST13","12","5 out of 5 stars","+58"
"202",11,"Ka'imi Fairbairn",HOU,"K5","6","3 out of 5 stars","+8"
"203",11,"Kendre Miller",NO,"RB62","11","4 out of 5 stars","+30"
"204",11,"Will Shipley",PHI,"RB63","9","3 out of 5 stars","-3"
"205",11,"Chase McLaughlin",TB,"K6","9","3 out of 5 stars","+32"
"206",11,"Mike Gesicki",CIN,"TE24","10","2 out of 5 stars","-2"
"207",11,"Chris Boswell",PIT,"K7","5","1 out of 5 stars","+47"
"208",11,"Kyle Monangai",CHI,"RB64","5","3 out of 5 stars","-38"
"209",11,"Chris Rodriguez Jr.",WAS,"RB65","12","2 out of 5 stars","+23"
"210",11,"Pat Freiermuth",PIT,"TE25","5","3 out of 5 stars","-16"
"211",11,"DJ Giddens",IND,"RB66","11","2 out of 5 stars","-8"
"212",11,"Harrison Butker",KC,"K8","10","3 out of 5 stars","+9"
"213",11,"New York Jets",NYJ,"DST14","9","5 out of 5 stars","+38"
"214",11,"Evan McPherson",CIN,"K9","10","1 out of 5 stars","+32"
"215",11,"Aaron Rodgers",PIT,"QB28","5","4 out of 5 stars","-36"
"216",11,"MarShawn Lloyd",GB,"RB67","5","4 out of 5 stars","+22"
"217",11,"Darius Slayton",NYG,"WR74","14","2 out of 5 stars","+32"
"218",11,"Michael Wilson",ARI,"WR75","8","4 out of 5 stars","+35"
"219",11,"Tyler Bass",BUF,"K10","7","2 out of 5 stars","+15"
"220",11,"Kareem Hunt",KC,"RB68","10","2 out of 5 stars","-34"
"221",11,"Keaton Mitchell",BAL,"RB69","7","4 out of 5 stars","+8"
"222",11,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-24"
"223",11,"Adonai Mitchell",IND,"WR76","11","4 out of 5 stars","+34"
"224",11,"Mason Taylor",NYJ,"TE26","9","3 out of 5 stars","-42"
"225",11,"Pat Bryant",DEN,"WR77","12","3 out of 5 stars","-19"
"226",11,"Jack Bech",LV,"WR78","8","4 out of 5 stars","-54"
"227",11,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","-11"
"228",11,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","+28"
"229",11,"Andrei Iosivas",CIN,"WR79","10","3 out of 5 stars","+59"
"230",11,"Justice Hill",BAL,"RB70","7","4 out of 5 stars","-41"
"231",11,"Jalen McMillan",TB,"WR80","9","3 out of 5 stars","-18"
"232",11,"Elic Ayomanor",TEN,"WR81","10","4 out of 5 stars","+18"
"233",11,"Calvin Austin III",PIT,"WR82","5","4 out of 5 stars","+46"
"234",11,"Jaylin Noel",HOU,"WR83","6","4 out of 5 stars","-9"
"235",11,"Miles Sanders",DAL,"RB71","10","2 out of 5 stars","+6"
"236",11,"Tahj Brooks",CIN,"RB72","10","4 out of 5 stars","-6"
"237",11,"Dontayvion Wicks",GB,"WR84","5","2 out of 5 stars","+28"
"238",11,"Dameon Pierce",HOU,"RB73","6","2 out of 5 stars","+29"
"239",11,"Daniel Jones",IND,"QB29","11","3 out of 5 stars","-21"
"240",12,"Jarquez Hunter",LAR,"RB74","8","3 out of 5 stars","-23"
"241",12,"Elijah Arroyo",SEA,"TE28","8","4 out of 5 stars","-14"
"242",12,"Matt Gay",WAS,"K12","12","3 out of 5 stars","+33"
"243",12,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","+48"
"244",12,"Juwan Johnson",NO,"TE29","11","3 out of 5 stars","0"
"245",12,"Tyler Lockett",TEN,"WR85","10","4 out of 5 stars","+3"
"246",12,"Ja'Tavion Sanders",CAR,"TE30","14","4 out of 5 stars","-27"
"247",12,"Devin Neal",NO,"RB75","11","4 out of 5 stars","-8"
"248",12,"Sean Tucker",TB,"RB76","9","3 out of 5 stars","+39"
