player_name,position,team,rank,bye,adp,tier,sleeper_tag,sleeper_id
Ja'Marr Chase,WR1,CIN,1,10.0,,,0,
Bijan Robinson,RB1,ATL,2,5.0,,,0,
Saquon Barkley,RB2,PHI,3,9.0,,,0,
CeeDee Lamb,WR2,DAL,4,10.0,,,0,
Jahmyr Gibbs,RB3,DET,5,8.0,,,0,
Justin Jefferson,WR3,MIN,6,6.0,,,0,
Derrick Henry,RB4,BAL,7,7.0,,,0,
Nico Collins,WR4,HOU,8,6.0,,,0,
Brian Thomas Jr.,WR5,JAC,9,8.0,,,0,
Malik Nabers,WR6,NYG,10,14.0,,,0,
Puka Nacua,WR7,LAR,11,8.0,,,0,
Ashton Jeanty,RB5,LV,12,8.0,,,0,
Christian McCaffrey,RB6,SF,13,14.0,,,0,
Drake London,WR8,ATL,14,5.0,,,0,
Jonathan Taylor,RB7,IND,15,11.0,,,0,
A.J. Brown,WR9,PHI,16,9.0,,,0,
Amon-Ra St. Brown,WR10,DET,17,8.0,,,0,
Josh Jacobs,RB8,GB,18,5.0,,,0,
George Kittle,TE1,SF,19,14.0,,,0,
Brock Bowers,TE2,LV,20,8.0,,,0,
Bucky Irving,RB9,TB,21,9.0,,,0,
Ladd McConkey,WR11,LAC,22,12.0,,,0,
Kyren Williams,RB10,LAR,23,8.0,,,0,
De'Von Achane,RB11,MIA,24,12.0,,,0,
Josh Allen,QB1,BUF,25,7.0,,,0,
Lamar Jackson,QB2,BAL,26,7.0,,,0,
Chase Brown,RB12,CIN,27,10.0,,,0,
Tee Higgins,WR12,CIN,28,10.0,,,0,
Mike Evans,WR13,TB,29,9.0,,,0,
Trey McBride,TE3,ARI,30,8.0,,,0,
Jayden Daniels,QB3,WAS,31,12.0,,,0,
James Cook,RB13,BUF,32,7.0,,,0,
Jaxon Smith-Njigba,WR14,SEA,33,8.0,,,0,
Tyreek Hill,WR15,MIA,34,12.0,,,0,
Davante Adams,WR16,LAR,35,8.0,,,0,
Jalen Hurts,QB4,PHI,36,9.0,,,0,
Omarion Hampton,RB14,LAC,37,12.0,,,0,
Marvin Harrison Jr.,WR17,ARI,38,8.0,,,0,
Kenneth Walker III,RB15,SEA,39,8.0,,,0,
Garrett Wilson,WR18,NYJ,40,9.0,,,0,
Terry McLaurin,WR19,WAS,41,12.0,,,0,
DK Metcalf,WR20,PIT,42,5.0,,,0,
Chuba Hubbard,RB16,CAR,43,14.0,,,0,
Breece Hall,RB17,NYJ,44,9.0,,,0,
Joe Burrow,QB5,CIN,45,10.0,,,0,
James Conner,RB18,ARI,46,8.0,,,0,
Courtland Sutton,WR21,DEN,47,12.0,,,0,
TreVeyon Henderson,RB19,NE,48,14.0,,,0,
Jameson Williams,WR22,DET,49,8.0,,,0,
Alvin Kamara,RB20,NO,50,11.0,,,0,
DJ Moore,WR23,CHI,51,5.0,,,0,
Xavier Worthy,WR24,KC,52,10.0,,,0,
Calvin Ridley,WR25,TEN,53,10.0,,,0,
George Pickens,WR26,DAL,54,10.0,,,0,
Tetairoa McMillan,WR27,CAR,55,14.0,,,0,
DeVonta Smith,WR28,PHI,56,9.0,,,0,
David Montgomery,RB21,DET,57,8.0,,,0,
D'Andre Swift,RB22,CHI,58,5.0,,,0,
Zay Flowers,WR29,BAL,59,7.0,,,0,
Tony Pollard,RB23,TEN,60,10.0,,,0,
Sam LaPorta,TE4,DET,61,8.0,,,0,
RJ Harvey,RB24,DEN,62,12.0,,,0,
Isiah Pacheco,RB25,KC,63,10.0,,,0,
Patrick Mahomes II,QB6,KC,64,10.0,,,0,
Jaylen Waddle,WR30,MIA,65,12.0,,,0,
Aaron Jones Sr.,RB26,MIN,66,6.0,,,0,
Baker Mayfield,QB7,TB,67,9.0,,,0,
Mark Andrews,TE5,BAL,68,7.0,,,0,
Bo Nix,QB8,DEN,69,12.0,,,0,
Kaleb Johnson,RB27,PIT,70,5.0,,,0,
T.J. Hockenson,TE6,MIN,71,6.0,,,0,
Tyrone Tracy Jr.,RB28,NYG,72,14.0,,,0,
Travis Hunter,WR31,JAC,73,8.0,,,0,
Ricky Pearsall,WR32,SF,74,14.0,,,0,
Rome Odunze,WR33,CHI,75,5.0,,,0,
Kyler Murray,QB9,ARI,76,8.0,,,0,
Rashee Rice,WR34,KC,77,10.0,,,0,
Dak Prescott,QB10,DAL,78,10.0,,,0,
Chris Olave,WR35,NO,79,11.0,,,0,
Jordan Mason,RB29,MIN,80,6.0,,,0,
Emeka Egbuka,WR36,TB,81,9.0,,,0,
Jerry Jeudy,WR37,CLE,82,9.0,,,0,
Travis Kelce,TE7,KC,83,10.0,,,0,
Jaylen Warren,RB30,PIT,84,5.0,,,0,
Deebo Samuel Sr.,WR38,WAS,85,12.0,,,0,
Jordan Addison,WR39,MIN,86,6.0,,,0,
David Njoku,TE8,CLE,87,9.0,,,0,
Brock Purdy,QB11,SF,88,14.0,,,0,
Justin Fields,QB12,NYJ,89,9.0,,,0,
Travis Etienne Jr.,RB31,JAC,90,8.0,,,0,
Zach Charbonnet,RB32,SEA,91,8.0,,,0,
Tucker Kraft,TE9,GB,92,5.0,,,0,
Jayden Reed,WR40,GB,93,5.0,,,0,
Justin Herbert,QB13,LAC,94,12.0,,,0,
Jauan Jennings,WR41,SF,95,14.0,,,0,
Tank Bigsby,RB33,JAC,96,8.0,,,0,
Stefon Diggs,WR42,NE,97,14.0,,,0,
Matthew Golden,WR43,GB,98,5.0,,,0,
Tyler Warren,TE10,IND,99,11.0,,,0,
Jacory Croskey-Merritt,RB34,WAS,100,12.0,,,0,
Caleb Williams,QB14,CHI,101,5.0,,,0,
Drake Maye,QB15,NE,102,14.0,,,0,
Javonte Williams,RB35,DAL,103,10.0,,,0,
Jakobi Meyers,WR44,LV,104,8.0,,,0,
Evan Engram,TE11,DEN,105,12.0,,,0,
Jared Goff,QB16,DET,106,8.0,,,0,
J.K. Dobbins,RB36,DEN,107,12.0,,,0,
Rhamondre Stevenson,RB37,NE,108,14.0,,,0,
Jordan Love,QB17,GB,109,5.0,,,0,
Khalil Shakir,WR45,BUF,110,7.0,,,0,
Trevor Lawrence,QB18,JAC,111,8.0,,,0,
Keon Coleman,WR46,BUF,112,7.0,,,0,
C.J. Stroud,QB19,HOU,113,6.0,,,0,
Cam Skattebo,RB38,NYG,114,14.0,,,0,
Josh Downs,WR47,IND,115,11.0,,,0,
J.J. McCarthy,QB20,MIN,116,6.0,,,0,
Dallas Goedert,TE12,PHI,117,9.0,,,0,
Chris Godwin Jr.,WR48,TB,118,9.0,,,0,
Kyle Pitts Sr.,TE13,ATL,119,5.0,,,0,
Cooper Kupp,WR49,SEA,120,8.0,,,0,
Najee Harris,RB39,LAC,121,12.0,,,0,
Dalton Kincaid,TE14,BUF,122,7.0,,,0,
Darnell Mooney,WR50,ATL,123,5.0,,,0,
Austin Ekeler,RB40,WAS,124,12.0,,,0,
Braelon Allen,RB41,NYJ,125,9.0,,,0,
Michael Pittman Jr.,WR51,IND,126,11.0,,,0,
Rashid Shaheed,WR52,NO,127,11.0,,,0,
Trey Benson,RB42,ARI,128,8.0,,,0,
Quinshon Judkins,RB43,CLE,129,9.0,,,0,
Brian Robinson Jr.,RB44,SF,130,14.0,,,0,
Ray Davis,RB45,BUF,131,7.0,,,0,
Colston Loveland,TE15,CHI,132,5.0,,,0,
Joe Mixon,RB46,HOU,133,6.0,,,0,
Brandon Aiyuk,WR53,SF,134,14.0,,,0,
Rachaad White,RB47,TB,135,9.0,,,0,
Nick Chubb,RB48,HOU,136,6.0,,,0,
Tua Tagovailoa,QB21,MIA,137,12.0,,,0,
Tyler Allgeier,RB49,ATL,138,5.0,,,0,
Jake Ferguson,TE16,DAL,139,10.0,,,0,
Rashod Bateman,WR54,BAL,140,7.0,,,0,
Christian Kirk,WR55,HOU,141,6.0,,,0,
Tyjae Spears,RB50,TEN,142,10.0,,,0,
Bryce Young,QB22,CAR,143,14.0,,,0,
Marvin Mims Jr.,WR56,DEN,144,12.0,,,0,
Michael Penix Jr.,QB23,ATL,145,5.0,,,0,
Jaydon Blue,RB51,DAL,146,10.0,,,0,
Hunter Henry,TE17,NE,147,14.0,,,0,
Bhayshul Tuten,RB52,JAC,148,8.0,,,0,
Jerome Ford,RB53,CLE,149,9.0,,,0,
Dylan Sampson,RB54,CLE,150,9.0,,,0,
Luther Burden III,WR57,CHI,151,5.0,,,0,
Cedric Tillman,WR58,CLE,152,9.0,,,0,
Matthew Stafford,QB24,LAR,153,8.0,,,0,
Geno Smith,QB25,LV,154,8.0,,,0,
Jayden Higgins,WR59,HOU,155,6.0,,,0,
Denver Broncos,DST1,DEN,156,12.0,,,0,
Jonnu Smith,TE18,PIT,157,5.0,,,0,
Zach Ertz,TE19,WAS,158,12.0,,,0,
Romeo Doubs,WR60,GB,159,5.0,,,0,
Isaiah Likely,TE20,BAL,160,7.0,,,0,
Rico Dowdle,RB55,CAR,161,14.0,,,0,
Philadelphia Eagles,DST2,PHI,162,9.0,,,0,
Marquise Brown,WR61,KC,163,10.0,,,0,
Keenan Allen,WR62,LAC,164,12.0,,,0,
Pittsburgh Steelers,DST3,PIT,165,5.0,,,0,
Tre' Harris,WR63,LAC,166,12.0,,,0,
Isaac Guerendo,RB56,SF,167,14.0,,,0,
Baltimore Ravens,DST4,BAL,168,7.0,,,0,
Adam Thielen,WR64,MIN,169,6.0,,,0,
DeMario Douglas,WR65,NE,170,14.0,,,0,
Joshua Palmer,WR66,BUF,171,7.0,,,0,
Kyle Williams,WR67,NE,172,14.0,,,0,
Minnesota Vikings,DST5,MIN,173,6.0,,,0,
Jaylen Wright,RB57,MIA,174,12.0,,,0,
Cam Ward,QB26,TEN,175,10.0,,,0,
Sam Darnold,QB27,SEA,176,8.0,,,0,
Wan'Dale Robinson,WR68,NYG,177,14.0,,,0,
Quentin Johnston,WR69,LAC,178,12.0,,,0,
Roschon Johnson,RB58,CHI,179,5.0,,,0,
Ollie Gordon II,RB59,MIA,180,12.0,,,0,
Xavier Legette,WR70,CAR,181,14.0,,,0,
Blake Corum,RB60,LAR,182,8.0,,,0,
Brenton Strange,TE21,JAC,183,8.0,,,0,
Houston Texans,DST6,HOU,184,6.0,,,0,
Buffalo Bills,DST7,BUF,185,7.0,,,0,
Brandon Aubrey,K1,DAL,186,10.0,,,0,
Kansas City Chiefs,DST8,KC,187,10.0,,,0,
Detroit Lions,DST9,DET,188,8.0,,,0,
DeAndre Hopkins,WR71,BAL,189,7.0,,,0,
Jalen Coker,WR72,CAR,190,14.0,,,0,
Cameron Dicker,K2,LAC,191,12.0,,,0,
Cade Otton,TE22,TB,192,9.0,,,0,
Jake Bates,K3,DET,193,8.0,,,0,
Seattle Seahawks,DST10,SEA,194,8.0,,,0,
Wil Lutz,K4,DEN,195,12.0,,,0,
Chig Okonkwo,TE23,TEN,196,10.0,,,0,
Los Angeles Rams,DST11,LAR,197,8.0,,,0,
Alec Pierce,WR73,IND,198,11.0,,,0,
Woody Marks,RB61,HOU,199,6.0,,,0,
Green Bay Packers,DST12,GB,200,5.0,,,0,
Los Angeles Chargers,DST13,LAC,201,12.0,,,0,
Ka'imi Fairbairn,K5,HOU,202,6.0,,,0,
Kendre Miller,RB62,NO,203,11.0,,,0,
Will Shipley,RB63,PHI,204,9.0,,,0,
Chase McLaughlin,K6,TB,205,9.0,,,0,
Mike Gesicki,TE24,CIN,206,10.0,,,0,
Chris Boswell,K7,PIT,207,5.0,,,0,
Kyle Monangai,RB64,CHI,208,5.0,,,0,
Chris Rodriguez Jr.,RB65,WAS,209,12.0,,,0,
Pat Freiermuth,TE25,PIT,210,5.0,,,0,
DJ Giddens,RB66,IND,211,11.0,,,0,
Harrison Butker,K8,KC,212,10.0,,,0,
New York Jets,DST14,NYJ,213,9.0,,,0,
Evan McPherson,K9,CIN,214,10.0,,,0,
Aaron Rodgers,QB28,PIT,215,5.0,,,0,
MarShawn Lloyd,RB67,GB,216,5.0,,,0,
Darius Slayton,WR74,NYG,217,14.0,,,0,
Michael Wilson,WR75,ARI,218,8.0,,,0,
Tyler Bass,K10,BUF,219,7.0,,,0,
Kareem Hunt,RB68,KC,220,10.0,,,0,
Keaton Mitchell,RB69,BAL,221,7.0,,,0,
San Francisco 49ers,DST15,SF,222,14.0,,,0,
Adonai Mitchell,WR76,IND,223,11.0,,,0,
Mason Taylor,TE26,NYJ,224,9.0,,,0,
Pat Bryant,WR77,DEN,225,12.0,,,0,
Jack Bech,WR78,LV,226,8.0,,,0,
Dalton Schultz,TE27,HOU,227,6.0,,,0,
Jake Elliott,K11,PHI,228,9.0,,,0,
Andrei Iosivas,WR79,CIN,229,10.0,,,0,
Justice Hill,RB70,BAL,230,7.0,,,0,
Jalen McMillan,WR80,TB,231,9.0,,,0,
Elic Ayomanor,WR81,TEN,232,10.0,,,0,
Calvin Austin III,WR82,PIT,233,5.0,,,0,
Jaylin Noel,WR83,HOU,234,6.0,,,0,
Miles Sanders,RB71,DAL,235,10.0,,,0,
Tahj Brooks,RB72,CIN,236,10.0,,,0,
Dontayvion Wicks,WR84,GB,237,5.0,,,0,
Dameon Pierce,RB73,HOU,238,6.0,,,0,
Daniel Jones,QB29,IND,239,11.0,,,0,
Jarquez Hunter,RB74,LAR,240,8.0,,,0,
Elijah Arroyo,TE28,SEA,241,8.0,,,0,
Matt Gay,K12,WAS,242,12.0,,,0,
Younghoe Koo,K13,ATL,243,5.0,,,0,
Juwan Johnson,TE29,NO,244,11.0,,,0,
Tyler Lockett,WR85,TEN,245,10.0,,,0,
Ja'Tavion Sanders,TE30,CAR,246,14.0,,,0,
Devin Neal,RB75,NO,247,11.0,,,0,
Sean Tucker,RB76,TB,248,9.0,,,0,
Dyami Brown,WR86,JAC,249,8.0,,,0,
Dallas Cowboys,DST16,DAL,250,10.0,,,0,
Russell Wilson,QB30,NYG,251,14.0,,,0,
Brashard Smith,RB77,KC,252,10.0,,,0,
Jalen Royals,WR87,KC,253,10.0,,,0,
Dont'e Thornton Jr.,WR88,LV,254,8.0,,,0,
Tampa Bay Buccaneers,DST17,TB,255,9.0,,,0,
Tory Horton,WR89,SEA,256,8.0,,,0,
Jason Sanders,K14,MIA,257,12.0,,,0,
Roman Wilson,WR90,PIT,258,5.0,,,0,
Cole Kmet,TE31,CHI,259,5.0,,,0,
Raheem Mostert,RB78,LV,260,8.0,,,0,
Isaac TeSlaa,WR91,DET,261,8.0,,,0,
Elijah Mitchell,RB79,KC,262,10.0,,,0,
Theo Johnson,TE32,NYG,263,14.0,,,0,
Devaughn Vele,WR92,NO,264,11.0,,,0,
Anthony Richardson Sr.,QB31,IND,265,11.0,,,0,
Joe Flacco,QB32,CLE,266,9.0,,,0,
Joshua Karty,K15,LAR,267,8.0,,,0,
Jaleel McLaughlin,RB80,DEN,268,12.0,,,0,
Harold Fannin Jr.,TE33,CLE,269,9.0,,,0,
Noah Gray,TE34,KC,270,10.0,,,0,
Jalen Tolbert,WR93,DAL,271,10.0,,,0,
Devin Singletary,RB81,NYG,272,14.0,,,0,
Kenneth Gainwell,RB82,PIT,273,5.0,,,0,
Trevor Etienne,RB83,CAR,274,14.0,,,0,
Kayshon Boutte,WR94,NE,275,14.0,,,0,
Nick Westbrook-Ikhine,WR95,MIA,276,12.0,,,0,
Malik Washington,WR96,MIA,277,12.0,,,0,
Brandin Cooks,WR97,NO,278,11.0,,,0,
Ty Johnson,RB84,BUF,279,7.0,,,0,
Elijah Moore,WR98,BUF,280,7.0,,,0,
Chicago Bears,DST18,CHI,281,5.0,,,0,
Isaiah Davis,RB85,NYJ,282,9.0,,,0,
Darren Waller,TE35,MIA,283,12.0,,,0,
Tre Tucker,WR99,LV,284,8.0,,,0,
Antonio Gibson,RB86,NE,285,14.0,,,0,
Amari Cooper,WR100,LV,286,8.0,,,0,
Jalen Nailor,WR101,MIN,287,6.0,,,0,
Jaxson Dart,QB33,NYG,288,14.0,,,0,
Tyler Shough,QB34,NO,289,11.0,,,0,
Spencer Rattler,QB35,NO,290,11.0,,,0,
Cleveland Browns,DST19,CLE,291,9.0,,,0,
Daniel Carlson,K16,LV,292,8.0,,,0,
Will Reichard,K17,MIN,293,6.0,,,0,
Tyler Loop,K18,BAL,294,7.0,,,0,
Diontae Johnson,WR102,FA,295,,,,0,
Jordan James,RB87,SF,296,14.0,,,0,
Emanuel Wilson,RB88,GB,297,5.0,,,0,
Tim Patrick,WR103,JAC,298,8.0,,,0,
Taysom Hill,TE36,NO,299,11.0,,,0,
New England Patriots,DST20,NE,300,14.0,,,0,
Christian Watson,WR104,GB,301,5.0,,,0,
Audric Estime,RB89,FA,302,,,,0,
Terrance Ferguson,TE37,LAR,303,8.0,,,0,
Troy Franklin,WR105,DEN,304,12.0,,,0,
Arizona Cardinals,DST21,ARI,305,8.0,,,0,
Chris Brooks,RB90,GB,306,5.0,,,0,
Luke McCaffrey,WR106,WAS,307,12.0,,,0,
Parker Washington,WR107,JAC,308,8.0,,,0,
Xavier Restrepo,WR108,TEN,309,10.0,,,0,
Noah Fant,TE38,CIN,310,10.0,,,0,
Khalil Herbert,RB91,FA,311,,,,0,
Ray-Ray McCloud III,WR109,ATL,312,5.0,,,0,
Tyler Higbee,TE39,LAR,313,8.0,,,0,
Jermaine Burton,WR110,CIN,314,10.0,,,0,
Kimani Vidal,RB92,LAC,315,12.0,,,0,
Tutu Atwell,WR111,LAR,316,8.0,,,0,
Sincere McCormick,RB93,SF,317,14.0,,,0,
Oronde Gadsden II,TE40,LAC,318,12.0,,,0,
Ty Chandler,RB94,MIN,319,6.0,,,0,
Shedeur Sanders,QB36,CLE,320,9.0,,,0,
Phil Mafah,RB95,DAL,321,10.0,,,0,
Zamir White,RB96,LV,322,8.0,,,0,
Samaje Perine,RB97,CIN,323,10.0,,,0,
Tez Johnson,WR112,TB,324,9.0,,,0,
Jason Myers,K19,SEA,325,8.0,,,0,
Damien Martinez,RB98,SEA,326,8.0,,,0,
Ben Sinnott,TE41,WAS,327,12.0,,,0,
KaVontae Turpin,WR113,DAL,328,10.0,,,0,
Josh Reynolds,WR114,NYJ,329,9.0,,,0,
Jordan Whittington,WR115,LAR,330,8.0,,,0,
A.J. Dillon,RB99,PHI,331,9.0,,,0,
Raheim Sanders,RB100,CLE,332,9.0,,,0,
Will Dissly,TE42,LAC,333,12.0,,,0,
Tyler Conklin,TE43,LAC,334,12.0,,,0,
Cam Little,K20,JAC,335,8.0,,,0,
Noah Brown,WR116,WAS,336,12.0,,,0,
Brandon McManus,K21,GB,337,5.0,,,0,
Gabe Davis,WR117,FA,338,,,,0,
New York Giants,DST22,NYG,339,14.0,,,0,
KeAndre Lambert-Smith,WR118,LAC,340,12.0,,,0,
Jalen Milroe,QB37,SEA,341,8.0,,,0,
Demarcus Robinson,WR119,SF,342,14.0,,,0,
Miami Dolphins,DST23,MIA,343,12.0,,,0,
Zack Moss,RB101,FA,344,,,,0,
Jaylin Lane,WR120,WAS,345,12.0,,,0,
Dawson Knox,TE44,BUF,346,7.0,,,0,
Michael Mayer,TE45,LV,347,8.0,,,0,
Isaiah Bond,WR121,CLE,348,9.0,,,0,
Jake Moody,K22,SF,349,14.0,,,0,
John Metchie III,WR122,PHI,350,9.0,,,0,
Tai Felton,WR123,MIN,351,6.0,,,0,
AJ Barner,TE46,SEA,352,8.0,,,0,
Marquez Valdes-Scantling,WR124,SF,353,14.0,,,0,
Olamide Zaccheaus,WR125,CHI,354,5.0,,,0,
Kalel Mullings,RB102,TEN,355,10.0,,,0,
Kirk Cousins,QB38,ATL,356,5.0,,,0,
Luke Musgrave,TE47,GB,357,5.0,,,0,
Washington Commanders,DST24,WAS,358,12.0,,,0,
Allen Lazard,WR126,NYJ,359,9.0,,,0,
Cam Akers,RB103,FA,360,,,,0,
Justin Tucker,K23,FA,361,,,,0,
Gus Edwards,RB104,FA,362,,,,0,
Dillon Gabriel,QB39,CLE,363,9.0,,,0,
Savion Williams,WR127,GB,364,5.0,,,0,
Curtis Samuel,WR128,BUF,365,7.0,,,0,
LeQuint Allen Jr.,RB105,JAC,366,8.0,,,0,
Chimere Dike,WR129,TEN,367,10.0,,,0,
Jimmy Garoppolo,QB40,LAR,368,8.0,,,0,
Mack Hollins,WR130,NE,369,14.0,,,0,
Jameis Winston,QB41,NYG,370,14.0,,,0,
Emari Demercado,RB106,ARI,371,8.0,,,0,
Austin Hooper,TE48,NE,372,14.0,,,0,
Zay Jones,WR131,ARI,373,8.0,,,0,
Gunnar Helm,TE49,TEN,374,10.0,,,0,
Cairo Santos,K24,CHI,375,5.0,,,0,
Van Jefferson,WR132,TEN,376,10.0,,,0,
Indianapolis Colts,DST25,IND,377,11.0,,,0,
Jahan Dotson,WR133,PHI,378,9.0,,,0,
Donovan Edwards,RB107,WAS,379,12.0,,,0,
Tank Dell,WR134,HOU,380,6.0,,,0,
Trey Sermon,RB108,PIT,381,5.0,,,0,
Foster Moreau,TE50,NO,382,11.0,,,0,
Atlanta Falcons,DST26,ATL,383,5.0,,,0,
Matt Prater,K25,FA,384,,,,0,
Chad Ryland,K26,ARI,385,8.0,,,0,
Efton Chism III,WR135,NE,386,14.0,,,0,
Jamari Thrash,WR136,CLE,387,9.0,,,0,
Blake Grupe,K27,NO,388,11.0,,,0,
Greg Dortch,WR137,ARI,389,8.0,,,0,
Jonathon Brooks,RB109,CAR,390,14.0,,,0,
Cade Stover,TE51,HOU,391,6.0,,,0,
Cincinnati Bengals,DST27,CIN,392,10.0,,,0,
Graham Gano,K28,NYG,393,14.0,,,0,
Jacob Cowing,WR138,SF,394,14.0,,,0,
Kenny Pickett,QB42,LV,395,8.0,,,0,
Antwane Wells Jr.,WR139,FA,396,,,,0,
Tommy Tremble,TE52,CAR,397,14.0,,,0,
Kyle Juszczyk,RB110,SF,398,14.0,,,0,
New Orleans Saints,DST28,NO,399,11.0,,,0,
Eddy Pineiro,K29,FA,400,,,,0,
Craig Reynolds,RB111,DET,401,8.0,,,0,
Luke Schoonmaker,TE53,DAL,402,10.0,,,0,
JuJu Smith-Schuster,WR140,KC,403,10.0,,,0,
Tyrod Taylor,QB43,NYJ,404,9.0,,,0,
Theo Wease Jr.,WR141,MIA,405,12.0,,,0,
Josh Oliver,TE54,MIN,406,6.0,,,0,
Nick Folk,K30,NYJ,407,9.0,,,0,
Hunter Renfrow,WR142,FA,408,,,,0,
Clyde Edwards-Helaire,RB112,FA,409,,,,0,
Jeremy McNichols,RB113,WAS,410,12.0,,,0,
Tyler Goodson,RB114,IND,411,11.0,,,0,
Joe Milton III,QB44,DAL,412,10.0,,,0,
Julius Chestnut,RB115,TEN,413,10.0,,,0,
Arian Smith,WR143,NYJ,414,9.0,,,0,
Mason Rudolph,QB45,PIT,415,5.0,,,0,
George Holani,RB116,SEA,416,8.0,,,0,
Jalin Hyatt,WR144,NYG,417,14.0,,,0,
Robert Woods,WR145,PIT,418,5.0,,,0,
Ja'Quinden Jackson,RB117,JAC,419,8.0,,,0,
Tyquan Thornton,WR146,KC,420,10.0,,,0,
Dare Ogunbowale,RB118,HOU,421,6.0,,,0,
Jordan Watkins,WR147,SF,422,14.0,,,0,
Devontez Walker,WR148,BAL,423,7.0,,,0,
Grant Calcaterra,TE55,PHI,424,9.0,,,0,
Jeremy Ruckert,TE56,NYJ,425,9.0,,,0,
Skyy Moore,WR149,SF,426,14.0,,,0,
Tyler Badie,RB119,DEN,427,12.0,,,0,
D'Ernest Johnson,RB120,FA,428,,,,0,
Stone Smartt,TE57,NYJ,429,9.0,,,0,
Xavier Hutchinson,WR150,HOU,430,6.0,,,0,
Hassan Haskins,RB121,LAC,431,12.0,,,0,
Mitchell Evans,TE58,CAR,432,14.0,,,0,
Jimmy Horn Jr.,WR151,CAR,433,14.0,,,0,
Jonathan Mingo,WR152,DAL,434,10.0,,,0,
Las Vegas Raiders,DST29,LV,435,8.0,,,0,
Malik Willis,QB46,GB,436,5.0,,,0,
Jacksonville Jaguars,DST30,JAC,437,8.0,,,0,
Darnell Washington,TE59,PIT,438,5.0,,,0,
Spencer Shrader,K31,IND,439,11.0,,,0,
Sterling Shepard,WR153,TB,440,9.0,,,0,
Elijah Higgins,TE60,ARI,441,8.0,,,0,
Casey Washington,WR154,ATL,442,5.0,,,0,
Greg Dulcich,TE61,MIA,443,12.0,,,0,
Kendrick Bourne,WR155,FA,444,,,,0,
Mitchell Tinsley,WR156,CIN,445,10.0,,,0,
Javon Baker,WR157,NE,446,14.0,,,0,
John Bates,TE62,WAS,447,12.0,,,0,
Alec Ingold,RB122,MIA,448,12.0,,,0,
Tyler Johnson,WR158,FA,449,,,,0,
Aidan O'Connell,QB47,LV,450,8.0,,,0,
Deshaun Watson,QB48,CLE,451,9.0,,,0,
Chris Tyree,RB123,NO,452,11.0,,,0,
Carson Steele,RB124,KC,453,10.0,,,0,
Jake Bobo,WR159,SEA,454,8.0,,,0,
Kalif Raymond,WR160,DET,455,8.0,,,0,
Julian Hill,TE63,MIA,456,12.0,,,0,
Sione Vaki,RB125,DET,457,8.0,,,0,
Pierre Strong Jr.,RB126,FA,458,,,,0,
Rasheen Ali,RB127,BAL,459,7.0,,,0,
Dylan Laube,RB128,LV,460,8.0,,,0,
Malachi Corley,WR161,CLE,461,9.0,,,0,
Zach Wilson,QB49,MIA,462,12.0,,,0,
KhaDarel Hodge,WR162,ATL,463,5.0,,,0,
Marcus Mariota,QB50,WAS,464,12.0,,,0,
Cordarrelle Patterson,RB129,FA,465,,,,0,
Mac Jones,QB51,SF,466,14.0,,,0,
Jacoby Brissett,QB52,ARI,467,8.0,,,0,
Michael Carter,RB130,ARI,468,8.0,,,0,
K.J. Osborn,WR163,FA,469,,,,0,
Zavier Scott,WR164,MIN,470,6.0,,,0,
Gardner Minshew II,QB53,KC,471,10.0,,,0,
Sam Howell,QB54,PHI,472,9.0,,,0,
Hunter Luepke,RB131,DAL,473,10.0,,,0,
Jake Browning,QB55,CIN,474,10.0,,,0,
Marcus Yarns,RB132,FA,475,,,,0,
Jelani Woods,TE64,NYJ,476,9.0,,,0,
Jeff Wilson Jr.,RB133,MIA,477,12.0,,,0,
Daniel Bellinger,TE65,NYG,478,14.0,,,0,
Cooper Rush,QB56,BAL,479,7.0,,,0,
Josh Williams,RB134,TB,480,9.0,,,0,
Brock Wright,TE66,DET,481,8.0,,,0,
Luke Lachey,TE67,FA,482,,,,0,
Drew Lock,QB57,SEA,483,8.0,,,0,
Thomas Fidone II,TE68,NYG,484,14.0,,,0,
DeeJay Dallas,RB135,FA,485,,,,0,
Kene Nwangwu,RB136,NYJ,486,9.0,,,0,
Josh Whyle,TE69,FA,487,,,,0,
Lucky Jackson,WR165,MIN,488,6.0,,,0,
Harrison Bryant,TE70,HOU,489,6.0,,,0,
C.J. Ham,RB137,MIN,490,6.0,,,0,
Luke Farrell,TE71,SF,491,14.0,,,0,
Derius Davis,WR166,LAC,492,12.0,,,0,
Ronnie Rivers,RB138,LAR,493,8.0,,,0,
Colby Parkinson,TE72,LAR,494,8.0,,,0,
Charlie Woerner,TE73,ATL,495,5.0,,,0,
David Moore,WR167,CAR,496,14.0,,,0,
Patrick Ricard,RB139,BAL,497,7.0,,,0,
Carlos Washington Jr.,RB140,ATL,498,5.0,,,0,
Charlie Kolar,TE74,BAL,499,7.0,,,0,
